Name,Cost of 1,Total,Link
3D Print,$5.00,$5.00,N/A
PCB,$9.41,$9.41,N/A
NE555P,$0.27,$0.27,https://robu.in/product/ne555p-texas-instruments-timer-single-precision-100-khz-pdip-8/
CD4017,$0.30,$0.30,https://electronicspices.com/product/cd4017-decade-counter-ic-dip-16-package?srsltid=AfmBOopc3RXAm-_MzwVCcUROpGEU86FgFGkNwRUev5t1WDMeklrVmSgAsHM
Header Pins,$0.12,$0.12,https://robu.in/product/2-54mm-1x40-pin-female-single-row-header-strip-pack-of-10/
Capacitor,$0.031,$0.031,https://quartzcomponents.com/products/50v-1uf-electrolytic-capacitor?variant=35154623561881&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq-fjQ5PZyQOrdlzf2Xx5gWJC7Jn8dRuM75eLHuA7vDqyDkl5yVuE0
Polarized Capacitor,$0.0086,$0.0086,https://smartxprokits.in/103pf-ceramic-capacitor/?srsltid=AfmBOooTa2XfHi2bumZzZo_GUhJyFTN57lBgKVt_ZQqWNbcnqv1YD6YDXe4
Resistor,$0.010,$0.010,https://www.flyrobo.in/planetary-geared-motor-24v-175rpm-100w?tracking=ads&srsltid=AfmBOoq6mzx2vakF22ijog7EjLSd7ayoshEE8mTJCbD0Y41k4Xgby_H3TS0
Variable Resistor,$0.10,$0.10,https://quartzcomponents.com/products/1k-ohm-0-5w-102-multiturn-variable-resistor-trimpot-trimmer?variant=44022273409258&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooTCVVf6EZ7no0GNhUNw94ewehk1EcFQkbeMPzzqV8PMHDoRCDFJK8
Red LED,$0.10,$0.10,https://harishprojects.com/products/5mm-red-led-pack-of-10?variant=46761597010098&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooB_5NcGDLodXrF2aRzwCUuEw4afQGS7NZa-P1TkYbdikbXJ0-cGmo
Grand Total,,$15.3496,
